Name,Genres,Episodes,Score,Cluster
Cowboy Bebop,"Action, Award Winning, Sci-Fi",26.0,8.75,3
Cowboy Bebop: Tengoku no Tobira,"Action, Sci-Fi",1.0,8.38,4
Trigun,"Action, Adventure, Sci-Fi",26.0,8.22,4
Witch Hunter Robin,"Action, Drama, Mystery, Supernatural",26.0,7.25,4
Bouken Ou Beet,"Adventure, Fantasy, Supernatural",52.0,6.94,4
Eyeshield 21,Sports,145.0,7.92,3
Hachimitsu to Clover,"Comedy, Drama, Romance",24.0,8.0,3
Hungry Heart: Wild Striker,"Comedy, Slice of Life, Sports",52.0,7.55,4
Initial D Fourth Stage,"Action, Drama",24.0,8.16,4
Monster,"Drama, Mystery, Suspense",74.0,8.87,3
Naruto,"Action, Adventure, Fantasy",220.0,7.99,4
Tennis no Ouji-sama,Sports,178.0,7.86,3
Ring ni Kakero 1,"Action, Sports",12.0,6.39,4
School Rumble,"Comedy, Romance",26.0,7.89,4
Sunabouzu,"Action, Adventure, Comedy, Sci-Fi, Ecchi",24.0,7.38,4
Texhnolyze,"Action, Drama, Sci-Fi",22.0,7.76,3
Trinity Blood,"Action, Supernatural",24.0,7.29,4
Yakitate!! Japan,"Comedy, Gourmet",69.0,7.91,4
Zipang,"Action, Drama, Sci-Fi",26.0,7.48,3
Neon Genesis Evangelion,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",26.0,8.35,3
Neon Genesis Evangelion: Death & Rebirth,"Drama, Sci-Fi",1.0,7.46,4
Neon Genesis Evangelion: The End of Evangelion,"Avant Garde, Drama, Sci-Fi",1.0,8.55,3
Kenpuu Denki Berserk,"Action, Adventure, Drama, Fantasy, Horror",25.0,8.56,3
Koukaku Kidoutai,"Action, Award Winning, Mystery, Sci-Fi, Suspense",1.0,8.27,3
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Romance",4.0,8.71,3
Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Romance",94.0,8.29,3
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Drama,1.0,7.55,4
Akira,"Action, Adventure, Horror, Sci-Fi, Supernatural",1.0,8.16,3
.hack//Sign,"Adventure, Fantasy, Mystery",26.0,6.95,3
Aa! Megami-sama!,"Comedy, Romance, Supernatural",5.0,7.29,4
Aa! Megami-sama! (TV),"Comedy, Romance, Supernatural",24.0,7.32,4
Tenshi Kinryouku,"Action, Drama, Romance, Supernatural",3.0,6.27,4
Kidou Tenshi Angelic Layer,"Award Winning, Comedy, Drama, Sci-Fi, Sports",26.0,7.26,4
Ai Yori Aoshi,"Comedy, Drama, Romance",24.0,7.11,3
Appleseed (Movie),"Action, Drama, Sci-Fi",1.0,7.06,3
Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",26.0,6.51,4
Avenger,"Adventure, Fantasy, Sci-Fi",13.0,5.86,4
Beck,"Comedy, Drama, Slice of Life",26.0,8.29,3
Blue Gender,"Adventure, Drama, Horror, Romance, Sci-Fi",26.0,7.03,4
Chobits,"Comedy, Drama, Romance, Sci-Fi, Ecchi",26.0,7.4,4
Chrno Crusade,"Action, Romance, Supernatural",24.0,7.62,3
D.N.Angel,"Action, Comedy, Fantasy, Romance",26.0,7.17,4
D.C.: Da Capo,"Drama, Romance",26.0,6.72,4
